itinerario_id,cruce_id,sentido,instante_paso_s,hcall_in_s,hcall_out_s
1,21,,75831,75754,75841
1,21,,76094,76017,76104
1,21,,76994,76917,77004
1,21,,77011,76934,77021
1,21,,77894,77817,77904
1,21,,77931,77854,77941
1,21,,78794,78717,78804
1,21,,79131,79054,79141
1,21,,79694,79617,79704
1,21,,79891,79814,79901
1,21,,80594,80517,80604
1,21,,82994,82917,83004
1,21,,84494,84417,84504
1,20,,21740,21638,21750
1,20,,22050,21948,22060
1,20,,22580,22478,22590
1,20,,23240,23138,23250
1,20,,23470,23368,23480
1,20,,23610,23508,23620
1,20,,24260,24158,24270
1,20,,25100,24998,25110
1,20,,25520,25418,25530
1,20,,26120,26018,26130
1,20,,26410,26308,26420
1,20,,26780,26678,26790
1,20,,27130,27028,27140
1,20,,27200,27098,27210
1,20,,27620,27518,27630
1,20,,28090,27988,28100
1,20,,28160,28058,28170
1,20,,28820,28718,28830
1,20,,28990,28888,29000
1,20,,29480,29378,29490
1,20,,29950,29848,29960
1,20,,30290,30188,30300
1,20,,30670,30568,30680
1,20,,31010,30908,31020
1,20,,31910,31808,31920
1,20,,32050,31948,32060
1,20,,32710,32608,32720
1,20,,32930,32828,32940
1,20,,33370,33268,33380
1,20,,33710,33608,33720
1,20,,34030,33928,34040
1,20,,34690,34588,34700
1,20,,35210,35108,35220
1,20,,35410,35308,35420
1,20,,36110,36008,36120
1,20,,36310,36208,36320
1,20,,36710,36608,36720
1,20,,37510,37408,37520
1,20,,38410,38308,38420
1,20,,38810,38708,38820
1,20,,39910,39808,39920
1,20,,40010,39908,40020
1,20,,41210,41108,41220
1,20,,42110,42008,42120
1,20,,43510,43408,43520
1,20,,44410,44308,44420
1,20,,44510,44408,44520
1,20,,45410,45308,45420
1,20,,45910,45808,45920
1,20,,46690,46588,46700
1,20,,48910,48808,48920
1,20,,49810,49708,49820
1,20,,50210,50108,50220
1,20,,52610,52508,52620
1,20,,53510,53408,53520
1,20,,54610,54508,54620
1,20,,56510,56408,56520
1,20,,57010,56908,57020
1,20,,57910,57808,57920
1,20,,58310,58208,58320
1,20,,60910,60808,60920
1,20,,61010,60908,61020
1,20,,61730,61628,61740
1,20,,62110,62008,62120
1,20,,62450,62348,62460
1,20,,63010,62908,63020
1,20,,63170,63068,63180
1,20,,63890,63788,63900
1,20,,64180,64078,64190
1,20,,64610,64508,64620
1,20,,64900,64798,64910
1,20,,65330,65228,65340
1,20,,65620,65518,65630
1,20,,66050,65948,66060
1,20,,66340,66238,66350
1,20,,66770,66668,66780
1,20,,67060,66958,67070
1,20,,67780,67678,67790
1,20,,67790,67688,67800
1,20,,68500,68398,68510
1,20,,68690,68588,68700
1,20,,69220,69118,69230
1,20,,69710,69608,69720
1,20,,69940,69838,69950
1,20,,70550,70448,70560
1,20,,70660,70558,70670
1,20,,71210,71108,71220
1,20,,71260,71158,71270
1,20,,71680,71578,71690
1,20,,72410,72308,72420
1,20,,72460,72358,72470
1,20,,73070,72968,73080
1,20,,73210,73108,73220
1,20,,74110,74008,74120
1,20,,74210,74108,74220
1,20,,75010,74908,75020
1,20,,75110,75008,75120
1,20,,75910,75808,75920
1,20,,76010,75908,76020
1,20,,76810,76708,76820
1,20,,77120,77018,77130
1,20,,77710,77608,77720
1,20,,78110,78008,78120
1,20,,78610,78508,78620
1,20,,79310,79208,79320
1,20,,79510,79408,79520
1,20,,80000,79898,80010
1,20,,80410,80308,80420
1,20,,82810,82708,82820
1,20,,84310,84208,84320
1,19,,21851,21782,21861
1,19,,21959,21890,21969
1,19,,22691,22622,22701
1,19,,23351,23282,23361
1,19,,23519,23450,23529
1,19,,23551,23482,23561
1,19,,24371,24302,24381
1,19,,25211,25142,25221
1,19,,25631,25562,25641
1,19,,26231,26162,26241
1,19,,26309,26240,26319
1,19,,26891,26822,26901
1,19,,27029,26960,27039
1,19,,27311,27242,27321
1,19,,27731,27662,27741
1,19,,27989,27920,27999
1,19,,28271,28202,28281
1,19,,28889,28820,28899
1,19,,28931,28862,28941
1,19,,29591,29522,29601
1,19,,29849,29780,29859
1,19,,30391,30322,30401
1,19,,30569,30500,30579
1,19,,31111,31042,31121
1,19,,31949,31880,31959
